mean_b0,mean_t0,mean_p0,mean_f0,mean_f20,mean_b1,mean_t1,mean_p1,mean_f1,mean_f21,mean_b2,mean_t2,mean_p2,mean_f2,mean_f22,mean_b3,mean_t3,mean_p3,mean_f3,mean_f23,mean_b4,mean_t4,mean_p4,mean_f4,mean_f24,mean_b5,mean_t5,mean_p5,mean_f5,mean_f25
-0.098230334,0.49534481,0.092883273,0.696132597,0.769797422,0.07807601,0.645501763,0.097648395,0.567219153,0.740331492,-0.07504874,-2.751449705,0.116220434,0.653775322,0.744014733,0.710806894,3.180069454,0.103440529,0.583793738,0.738489871,0.145943775,1.748241941,0.123085788,0.602209945,0.718232044,-0.117413752,-1.791200361,0.154031119,0.521178637,0.670349908
0.030121122,-0.041440693,0.109667414,0.642857143,0.731203008,0.076985517,0.816963631,0.162638926,0.5,0.622180451,0.008461647,-0.192296298,0.197280142,0.411654135,0.569548872,0.55462616,3.352751697,0.100870341,0.642857143,0.740601504,0.436831063,2.573390696,0.06547418,0.731203008,0.836466165,-0.131989025,-2.847167897,0.098398531,0.622180451,0.755639098
-0.055565804,-0.881723431,0.109300871,0.575936884,0.698224852,0.224040385,2.755757071,0.147682146,0.514792899,0.65877712,-0.094068933,-1.681670214,0.116223418,0.534516765,0.708086785,0.249118557,1.380813867,0.09168625,0.674556213,0.779092702,0.547920217,3.274126099,0.243806448,0.293885602,0.477317554,0.095351609,0.192388461,0.110762146,0.654832347,0.75147929
0.102936579,0.79708074,0.09989642,0.542682927,0.725609756,-0.183871497,-1.573492414,0.13506021,0.544715447,0.691056911,-0.161068806,-1.679961702,0.100117126,0.611788618,0.784552846,0.687931238,3.945295269,0.086925233,0.670731707,0.798780488,0.537995792,2.758980397,0.251146341,0.349593496,0.479674797,0.157851301,0.947197097,0.131802424,0.56504065,0.68495935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0982,0.0301,-0.0556,0.1029,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4953,-0.0414,-0.8817,0.7971,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0929,0.1097,0.1093,0.0999,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6961,0.6429,0.5759,0.5427,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0781,0.0770,0.2240,-0.1839,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6455,0.8170,2.7558,-1.5735,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0976,0.1626,0.1477,0.1351,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5672,0.5000,0.5148,0.5447,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0750,0.0085,-0.0941,-0.1611,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.7514,-0.1923,-1.6817,-1.6800,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1162,0.1973,0.1162,0.1001,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6538,0.4117,0.5345,0.6118,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7108,0.5546,0.2491,0.6879,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1801,3.3528,1.3808,3.9453,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1034,0.1009,0.0917,0.0869,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5838,0.6429,0.6746,0.6707,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1459,0.4368,0.5479,0.5380,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7482,2.5734,3.2741,2.7590,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1231,0.0655,0.2438,0.2511,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6022,0.7312,0.2939,0.3496,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.1174,-0.1320,0.0954,0.1579,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.7912,-2.8472,0.1924,0.9472,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1540,0.0984,0.1108,0.1318,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5212,0.6222,0.6548,0.5650,,,,,,,,,,,,,,,,,,,,,,,,,,
